"Term" "Count" "pvalue" "GO.ID" "Annotated" "Significant" "Expected" "classicFisher"
"1" "response to chitin" 17 0.00072 "GO:0010200" 19 17 10.04 "0.00072"
"2" "defense response to bacterium" 47 0.00391 "GO:0042742" 60 47 31.71 "0.00391"
"3" "response to acid chemical" 90 0.0042 "GO:0001101" 138 90 72.93 "0.00420"
"4" "hormone catabolic process" 8 0.00584 "GO:0042447" 8 8 4.23 "0.00584"
"5" "cellular response to nitrogen starvation" 10 0.00921 "GO:0006995" 11 10 5.81 "0.00921"
"6" "glutathione metabolic process" 14 0.01097 "GO:0006749" 17 14 8.98 "0.01097"
"7" "salicylic acid catabolic process" 7 0.01116 "GO:0046244" 7 7 3.7 "0.01116"
"8" "cellular response to hypoxia" 7 0.01116 "GO:0071456" 7 7 3.7 "0.01116"
"9" "peptide metabolic process" 15 0.01183 "GO:0006518" 23 15 12.15 "0.01183"
"10" "response to fungus" 38 0.01452 "GO:0009620" 52 38 27.48 "0.01452"
