"Term" "Count" "pvalue" "GO.ID" "Annotated" "Significant" "Expected" "classicFisher"
"1" "defense response to other organism" 26 0.00019 "GO:0098542" 73 26 13.71 "0.00019"
"2" "defense response to bacterium" 13 0.00078 "GO:0042742" 28 13 5.26 "0.00078"
"3" "defense response to oomycetes" 7 0.00225 "GO:0002229" 12 7 2.25 "0.00225"
"4" "hormone catabolic process" 5 0.00317 "GO:0042447" 7 5 1.31 "0.00317"
"5" "salicylic acid catabolic process" 5 0.00317 "GO:0046244" 7 5 1.31 "0.00317"
"6" "antibiotic catabolic process" 5 0.00317 "GO:0017001" 7 5 1.31 "0.00317"
"7" "response to hormone" 23 0.0041 "GO:0009725" 87 23 16.34 "0.00410"
"8" "response to salicylic acid" 14 0.00529 "GO:0009751" 29 14 5.45 "0.00529"
"9" "response to antibiotic" 14 0.0055 "GO:0046677" 31 14 5.82 "0.00550"
"10" "leaf senescence" 5 0.00722 "GO:0010150" 8 5 1.5 "0.00722"
