       	gene_id 	go_terms
     0 	g29212  	GO:0016020(InterPro)
     2 	g18626  	GO:0004553(InterPro)|GO:0005975(InterPro)
     4 	g28468  	GO:0005384(PANTHER)|GO:0005886(PANTHER)|GO:0006828(PANTHER)|GO:0015086(PANTHER)|GO:0016020(InterPro)|GO:0030001(InterPro)|GO:0034755(PANTHER)|GO:0046873(InterPro)
     9 	g33706  	GO:0005982(PANTHER)|GO:0009570(PANTHER)|GO:0043036(PANTHER)|GO:2000904(PANTHER)|GO:2001070(PANTHER)
    10 	g157    	GO:0005737(PANTHER)|GO:0016567(PANTHER)|GO:0061630(PANTHER)
    11 	g34663  	GO:0004672(InterPro)|GO:0005524(InterPro)|GO:0006468(InterPro)
    14 	g8699   	GO:0005452(InterPro)|GO:0005886(PANTHER)|GO:0006820(InterPro)|GO:0016020(InterPro)|GO:0022857(PANTHER)|GO:0046715(PANTHER)|GO:0050801(PANTHER)|GO:0055085(PANTHER)
    18 	g9921   	GO:0003677(InterPro)
    23 	g29593  	GO:0005874(InterPro)|GO:0007017(InterPro)
    25 	g33560  	GO:0015074(InterPro)
    27 	g4401   	GO:0003677(InterPro)
    35 	g11560  	GO:0005504(InterPro)|GO:0009627(InterPro)
    36 	g16380  	GO:0016757(InterPro)
    38 	g13635  	GO:0035556(PANTHER)|GO:0043539(PANTHER)
    39 	g14662  	GO:0010333(InterPro)|GO:0016114(InterPro)
    42 	g15246  	GO:0008271(InterPro)|GO:1902358(InterPro)
    46 	g5834   	GO:0004722(InterPro)|GO:0006470(InterPro)
    48 	g11438  	GO:0003676(InterPro)|GO:0008270(InterPro)
    50 	g17699  	GO:0016757(InterPro)
    53 	g24263  	GO:0007165(InterPro)
    56 	g1442   	GO:0004072(InterPro)|GO:0008652(InterPro)
    59 	g18260  	GO:0004601(InterPro)|GO:0006979(InterPro)|GO:0020037(InterPro)
    78 	g14297  	GO:0045892(InterPro)
    79 	g24259  	GO:0008194(InterPro)
    82 	g5010   	GO:0005829(PANTHER)|GO:0016811(InterPro)
    85 	g10385  	GO:0016740(InterPro)
    87 	g26677  	GO:0008270(InterPro)
    94 	g24364  	GO:0007165(InterPro)
    97 	g21454  	GO:0006952(InterPro)
    99 	g21445  	GO:0006281(InterPro)
   101 	g5343   	GO:0046983(InterPro)
   104 	g2225   	GO:0005515(InterPro)
   109 	g7089   	GO:0030246(InterPro)
   116 	g1935   	GO:0003735(InterPro)|GO:0005730(PANTHER)|GO:0042273(PANTHER)
   117 	g16542  	GO:0000139(InterPro)|GO:0005801(InterPro)|GO:0006888(InterPro)|GO:0016020(InterPro)
   119 	g30728  	GO:0009507(PANTHER)
   120 	g33836  	GO:0003724(InterPro)
   123 	g34590  	GO:0005737(PANTHER)
